type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS,seq_time,speedup,time_s,edp,power_efficiency,instantaneous_power,gflops,joules_per_gflop,cache_miss_rate
Parallel,7168,8,256,10835.153107,336.933778,6823628769,2482554089,92073361410,45512888374,41376.450127,3.818723161398516,10.835153107,3650.7290715499485,0.03215810884654016,31.09635596956406,67.98121669255707,4.956277548308271,0.149927394476201
Parallel,8192,8,256,18955.579573,571.943475,10885337067,4338699948,137438953474,67936569586,62302.208832,3.2867477669077547,18.955579572999998,10841.520051620635,0.03314240025729815,30.172829735824408,58.00464309422254,9.86030504611393,0.1602279469413067
Parallel,1024,9,64,32.45714,1.540326,21452904,473149,239075330,159403692,113.591071,3.4997252068420073,0.03245714,0.04999457662764001,0.021071604322721295,47.45723129024923,66.16367455666149,0.023280538910832257,0.13458222786960292
Parallel,2048,9,64,234.942977,7.73016,161995952,3545937,1908932610,1272397280,920.639072,3.9185639160433383,0.23494297700000003,1.8161468030863201,0.030393028992931587,32.902281645984246,73.12356982690314,0.10571365728312639,0.127315544088557
Parallel,3072,9,64,803.859747,21.958947,568936910,9225499,6442450946,4296287761,3113.594459,3.8733055991669154,0.803859747,17.651913579806408,0.036607390463668406,27.316888402424258,72.12957075209788,0.3044375111488006,0.1324252335154512
Parallel,4096,9,64,1940.213425,51.579181,1351071520,19892553,15271460866,10181213038,7472.435349,3.8513471006417763,1.9402134249999998,100.07461942670491,0.03761621234350347,26.58428208742036,70.83702839134824,0.7281386892042422,0.13270241129002097
Parallel,5120,9,64,3807.235816,98.500445,2633115429,38474320,29826220034,19882602819,14639.75145,3.8452442027562603,3.807235816,375.01442209593813,0.038651965643403945,25.871905434921974,70.50665337615641,1.3970375884172996,0.13243313528768832
Parallel,6144,9,64,6724.520177,168.782898,4468775496,84989098,51539607554,34355535855,25542.947952,3.7984788921245283,6.7245201770000005,1134.984003133533,0.03984124136202473,25.099619535277956,68.97986112890801,2.4468431109854265,0.1300743936831836
Parallel,7168,9,64,10549.75028,266.605918,6875307903,136507192,81843453954,54554387738,41376.450127,3.9220312357004903,10.54975028,2812.6258580701565,0.03957057802445331,25.271301303257008,69.82031533584319,3.8184576611777956,0.12602667151208785
Parallel,8192,9,64,16091.295174,398.281192,10514972794,209771354,122168016898,81432489755,62302.208832,3.871795785131497,16.091295174000003,6408.860222724568,0.04040184547303455,24.751344605469352,68.32959161376701,5.828824416971263,0.1291250313681386
Parallel,1024,10,64,29.410435,1.518277,19891412,428004,214958082,144347701,113.591071,3.862271027273143,0.029410435,0.044653187020495,0.01937092836155721,51.62375190982385,73.01774516425887,0.020793260550356938,0.13780207001703476
Parallel,2048,10,64,214.855485,7.118575,145629756,2975095,1718091778,1146018675,920.639072,4.284922360720743,0.21485548499999998,1.529464884133875,0.03018237287659398,33.13192120741065,79.96011451138891,0.0890265733547203,0.12707450513404592
Parallel,3072,10,64,753.319662,21.144155,514161743,7938122,5798625282,3867149528,3113.594459,4.133164997623545,0.753319662,15.928307697875612,0.03562779699638032,28.06797176097071,76.96873109891031,0.2747109728602418,0.13295626126614052
Parallel,4096,10,64,1826.986554,49.61363,1166965985,26415609,13744209922,9163233345,7472.435349,4.090033028781667,1.826986554,90.64343490513103,0.0368242870759507,27.155990771456985,75.22712916036053,0.6595177903737277,0.1273530795367953
Parallel,5120,10,64,3560.732361,95.456642,2365492299,38132772,26843545602,17894518517,14639.75145,4.111443929441683,3.560732361,339.8955542417918,0.03730209115254651,26.808148527397847,75.3877092645661,1.266209610707282,0.13219088833000758
Parallel,6144,10,64,6290.35766,163.777968,4080019523,61311008,46385856514,30920331503,25542.947952,4.060651131878565,6.29035766,1030.2219955480348,0.0384078379822126,26.03635227953,73.74087341927073,2.220993058609472,0.13195264489981753
Parallel,7168,10,64,9911.110391,260.432043,6458024027,98776642,73658793986,49098947788,41376.450127,4.17475423990563,9.911110391,2581.170727526659,0.038056416855739975,26.276777548203988,74.31931057219117,3.504231147933288,0.13153080295904773
