type,size,cores,blockSize,time,energy,L1_DCM,L2_DCM,FP_INS,TOT_INS
Parallel,8192,6,64,17091.133291,394.196579,16406572285,278263111,183252287490,122149529083,140735447956896
Parallel,1024,5,64,30.209240,1.420581,39916214,677459,429916162,288221237,140730534394768
Parallel,2048,5,64,287.428415,7.135572,308993948,4101406,3436183554,2292526039,140730534394768
Parallel,3072,5,64,1004.552600,21.986595,1034478780,14891858,11596726274,7733570565,140730534394768
Parallel,4096,5,64,2441.786353,52.061501,2463838498,37361581,27487895554,18329085596,140730534394768
Parallel,5120,5,64,4679.492641,96.805586,4780753474,85861573,53687091202,35790106630,140730534394768
Parallel,6144,5,64,8360.112714,173.257214,8289665933,129252761,92771713026,61842312147,140730534394768
Parallel,7168,5,64,13260.673521,274.609670,13121092328,205896364,147317587970,98195718152,140730534394768
Parallel,8192,5,64,19999.363607,411.325469,19697973106,313815284,219902640130,146567982094,140730534394768
Parallel,1024,4,64,35.919513,1.366125,48276278,815511,536870914,359370415,140729355271568
Parallel,2048,4,64,315.712724,7.591786,383127006,6865136,4294967298,2864786749,140729355271568
Parallel,3072,4,64,1113.386507,24.858334,1296023929,24149647,14495514626,9665033560,140729355271568
Parallel,4096,4,64,2678.765325,58.686952,3088701044,59622911,34359738370,22905697495,140729355271568
Parallel,5120,4,64,5298.318089,114.848064,5971203984,106988836,67108864002,44733021553,140729355271568
Parallel,6144,4,64,9260.810748,199.296486,10353343727,185134245,115964116994,77293310339,140729355271568
Parallel,7168,4,64,14873.851475,319.395897,16402893987,282166412,184146722818,122734389593,140729355271568
Parallel,8192,4,64,22529.274829,479.880289,24555013643,427248802,274877906946,183197999015,140729355271568
Parallel,1024,3,64,46.097004,1.515486,64031201,1143915,716177410,479229907,140722300386656
Parallel,2048,3,64,430.212339,8.295882,511446709,7271499,5726797826,3818762738,140722300386656
Parallel,3072,3,64,1454.128189,26.225710,1727002171,33094922,19327352834,12884487886,140722300386656
Parallel,4096,3,64,3632.395554,65.470659,4113224678,59448661,45813334018,30537226288,140722300386656
Parallel,5120,3,64,7045.422871,127.102085,7964324220,117438507,89478660098,59638015508,140722300386656
Parallel,6144,3,64,12026.915817,213.990887,13799549433,250224487,154618822658,103048941438,140722300386656
Parallel,7168,3,64,19441.314551,351.287681,21855392310,335819089,245529313282,163632089220,140722300386656
Parallel,8192,3,64,29210.508225,527.639919,32774089013,510717615,366504050690,244248497010,140722300386656
Parallel,1024,2,64,68.266414,1.506514,95600093,1671940,1073741826,717321617,140722986762672
Parallel,2048,2,64,574.772604,9.892143,764517048,13129373,8589934594,5726471436,140722986762672
Parallel,3072,2,64,1980.633026,33.074599,2582280340,45022811,28991029250,19323396521,140722986762672
Parallel,4096,2,64,4753.067986,79.297352,6168257814,114915497,68719476738,45799590311,140722986762672
Parallel,5120,2,64,9247.954436,152.638087,11919577725,211237243,134217728002,89447657057,140722986762672
Parallel,6144,2,64,16176.109127,267.876832,20671386788,368911541,231928233986,154560201375,140722986762672
Parallel,7168,2,64,25824.413393,425.910714,32727645602,567750934,368293445634,245429827459,140722986762672
Parallel,8192,2,64,39103.848301,646.345023,49048737212,841117738,549755813890,366349140129,140722986762672
Parallel,1024,1,64,126.331903,1.812437,190236549,3335534,2147483650,1431664583,140735239011104
Parallel,2048,1,64,1064.882117,13.397775,1527738820,26604097,17179869186,11449947012,140735239011104
Parallel,3072,1,64,3590.229426,44.807894,5138481907,91214002,57982058498,38640122784,140735239011104
Parallel,4096,1,64,8676.444722,108.882492,12285146529,215885790,137438953474,91587381708,140735239011104
Parallel,5120,1,64,16913.801736,212.892372,23838238316,410434050,268435456002,178876932167,140735239011104
Parallel,6144,1,64,29490.558672,370.163108,41303809701,574199947,463856467970,309093983167,140735239011104
Parallel,7168,1,64,46619.198141,589.450046,65400056683,886728548,736586891266,490823742713,140735239011104
Parallel,8192,1,64,69883.194761,904.699521,98047984087,1323808369,1099511627778,732651420219,140735239011104
Parallel,1024,16,128,21.983927,1.398732,11232093,239927,134217730,75554039,140727738337152
Parallel,2048,16,128,187.844921,7.704802,85058850,979394,1073741826,597072946,140727738337152
Parallel,3072,16,128,765.624695,25.164973,291264249,50324808,3623878658,2006279438,140727738337152
Parallel,4096,16,128,1573.027286,50.373783,671580934,19537041,8589934594,4749706661,140727738337152
Parallel,5120,16,128,3208.439237,99.753859,1301995748,21188647,16777216002,9270105198,140727738337152
Parallel,6144,16,128,5427.033635,159.904603,2248140487,37605536,28991029250,16011867384,140727738337152
Parallel,7168,16,128,9105.558737,272.565067,3628320117,600954234,46036680706,25416875973,140727738337152
Parallel,8192,16,128,15202.692613,436.000035,5611457644,117709313,68719476738,37935412149,140727738337152
Parallel,1024,15,128,28.755209,1.684636,11939975,2078314,146800642,81757051,140731819742944
Parallel,2048,15,128,255.058989,8.150503,92023236,15241348,1149239298,638293554,140731819742944
Parallel,3072,15,128,771.579099,23.189215,293757530,26465907,3867148290,2140809273,140731819742944
Parallel,4096,15,128,1776.753946,54.891967,697753389,58869162,9164554242,5066505923,140731819742944
Parallel,5120,15,128,3301.649201,96.115223,1382944965,21668917,17897095170,9887517450,140731819742944
Parallel,6144,15,128,5865.652408,171.619573,2342889887,345594697,30924603394,17077886722,140731819742944
Parallel,7168,15,128,9655.490334,282.074158,3813950099,548809970,49106911234,27111608692,140731819742944
Parallel,8192,15,128,15000.375483,422.456455,5607633257,879403096,73303851010,40462871431,140731819742944
Parallel,1024,14,128,30.455748,1.724749,12697335,1538170,155189250,88022136,140727046682336
Parallel,2048,14,128,244.184635,7.492532,93783491,7902258,1228931074,682631825,140727046682336
Parallel,3072,14,128,743.913093,22.137679,315841765,39585648,4143972354,2293428099,140727046682336
Parallel,4096,14,128,1700.537053,50.156052,745371311,97038785,9818865666,5425141401,140727046682336
Parallel,5120,14,128,3454.819992,98.886763,1445193487,187080486,19176357890,10592801117,140727046682336
Parallel,6144,14,128,5723.200731,167.367886,2546080622,317528878,33135001602,18294424020,140727046682336
Parallel,7168,14,128,8267.580584,224.631252,4033318079,77160656,52613349378,29044826132,140727046682336
Parallel,8192,14,128,14196.032324,393.965100,5964263092,556658663,78538342402,43348750040,140727046682336
Parallel,1024,13,128,32.552578,1.729556,14026964,2483612,167772162,93772285,140721302697056
Parallel,2048,13,128,251.158226,7.084015,101073682,9524301,1325400066,735817086,140721302697056
Parallel,3072,13,128,777.477328,21.928416,338367447,43927268,4462739458,2468858283,140721302697056
Parallel,4096,13,128,1788.697817,50.350454,797012462,71415938,10573840386,5843474103,140721302697056
Parallel,5120,13,128,3437.188991,96.747393,1555044763,135256824,20652752898,11406767287,140721302697056
Parallel,6144,13,128,6066.854264,165.483568,2760398681,349777826,35685138434,19700916906,140721302697056
Parallel,7168,13,128,9455.172294,258.614800,4301207393,373664696,56660852738,31276296968,140721302697056
Parallel,8192,13,128,14622.497235,393.327804,6403488448,843499292,84578140162,46678616020,140721302697056
Parallel,1024,12,128,33.780142,1.660360,14739538,1934761,180355074,101947251,140726491162880
Parallel,2048,12,128,223.658562,7.570638,113250880,12752725,1434451970,793850893,140726491162880
Parallel,3072,12,128,634.565185,19.350943,369534814,5990935,4831838210,2670562270,140726491162880
Parallel,4096,12,128,1575.482320,47.242064,861920444,80281049,11454644226,6328302211,140726491162880
Parallel,5120,12,128,3112.538729,88.899547,1674986631,29743413,22372417538,12354852368,140726491162880
Parallel,6144,12,128,5138.920841,137.384024,2936478190,48009337,38654705666,21337633667,140726491162880
Parallel,7168,12,128,9041.111601,240.123126,4586025113,75863169,61383639042,33880062491,140726491162880
Parallel,8192,12,128,13152.941853,349.555837,7149457451,142928205,91628765186,50563667457,140726491162880
Parallel,1024,11,128,32.423763,1.664251,15913655,2818413,197132290,109500236,140728413577840
Parallel,2048,11,128,268.376062,6.827512,119929389,2211606,1564475394,867623979,140728413577840
Parallel,3072,11,128,727.344294,20.615404,406220629,36290594,5272240130,2913364838,140728413577840
Parallel,4096,11,128,1693.091887,47.065514,941185236,83011047,12494831618,6901249508,140728413577840
Parallel,5120,11,128,3371.710627,89.055072,1832147034,158860863,24406654978,13476370142,140728413577840
Parallel,6144,11,128,5774.483805,152.999534,3161350939,274568627,42169532418,23277444461,140728413577840
Parallel,7168,11,128,9286.462298,238.624790,5016729892,436533359,66966257666,36955777270,140728413577840
Parallel,8192,11,128,14072.000819,363.340891,7649041416,700267743,99958652930,55156104808,140728413577840
Parallel,1024,10,128,29.889304,1.559871,17661848,2088192,218103810,121721767,140732245748016
Parallel,2048,10,128,213.430040,6.681188,130545640,12258412,1719664642,951082936,140732245748016
Parallel,3072,10,128,738.960172,20.587955,438946381,7835743,5800722434,3206827599,140732245748016
Parallel,4096,10,128,1780.110950,47.268872,1037390679,90632848,13744734210,7589990733,140732245748016
